PWSSWGT,age,sex,education,marital_status,race,state_fips,metro_status,cbsa_code,labor_force_status_major,industry_major_recode,PRMJOCC1,hourly_earnings,use_laptop,use_desktop,use_tablet,use_smartphone,internet_at_home,internet_at_work,internet_at_school,internet_at_cafe,internet_while_traveling,HXINLICO,internet_elsewhere_home,internet_other_places,is_random_respondent,internet_usage_count,internet_user
18490627,53,1,39,1,1,1,2,0,1,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
16016393,45,2,46,1,1,1,2,0,1,10,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
36290875,54,1,39,4,2,1,1,33860,1,5,10,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
36290875,53,1,39,1,2,1,1,19300,5,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
41307609,30,2,40,1,2,1,1,19300,1,8,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
16090386,47,2,43,4,1,1,1,19300,1,10,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
18133944,41,2,39,1,1,1,1,13820,7,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,7,1
19643230,40,1,40,1,1,1,1,13820,6,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,7,1
22738075,37,2,39,1,1,1,2,0,1,9,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
22270507,39,1,39,1,1,1,2,0,1,4,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
17491169,48,2,43,1,1,1,2,0,6,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
19754364,50,1,42,1,1,1,2,0,1,3,7,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
36560197,31,2,40,6,2,1,1,22520,1,9,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
17666294,33,1,41,5,1,1,2,0,1,3,9,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
26842339,51,2,43,1,1,1,1,26620,1,13,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
26277396,45,2,39,1,1,1,1,26620,1,5,5,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
25212234,51,1,40,1,1,1,1,26620,1,5,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
18500440,46,2,43,1,1,1,1,13820,1,10,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
23389032,49,1,40,1,1,1,1,13820,1,3,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
20792220,48,1,39,6,1,1,1,13820,6,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0
25633246,35,2,39,6,2,1,1,13820,1,10,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
23201663,43,2,39,6,2,1,1,13820,1,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
26956014,32,2,44,1,1,1,1,22520,1,9,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
17854423,48,2,39,4,1,1,1,22520,6,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
25588043,30,1,39,1,1,1,1,22520,1,6,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
23555555,37,1,44,4,1,1,1,12220,1,4,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
